Total Energy Consumption: 7842.55,
Total Price: 246.093,
Hour, Consumption kw
528,5.20359
529,4.99971
530,5.1727
531,5.49856
532,6.35591
533,6.58896
534,7.35528
535,8.43638
536,9.69038
537,7.82881
538,6.00201
539,4.41296
540,3.74099
541,3.60817
542,4.08266
543,5.34659
544,5.319
545,5.65356
546,4.73098
547,3.45989
548,3.33803
549,3.75877
550,3.59157
551,4.9229
552,5.28928
553,7.89667
554,5.59702
555,5.57155
556,9.30426
557,9.21675
558,6.44466
559,7.59485
560,6.97388
561,6.12378
562,5.3908
563,3.68242
564,3.80556
565,3.71503
566,3.85988
567,5.10891
568,5.23025
569,5.76778
570,4.0527
571,4.15613
572,5.93805
573,3.60374
574,3.86281
575,7.53952
576,5.64957
577,7.24421
578,5.75805
579,5.15853
580,6.01854
581,6.33397
582,7.44419
583,9.37632
584,7.29657
585,7.25762
586,6.29293
587,3.4074
588,3.67509
589,3.5959
590,3.9058
591,4.37117
592,5.70166
593,6.71674
594,6.05177
595,4.86144
596,3.22655
597,4.30931
598,5.76696
599,5.00891
600,5.3294
601,4.94801
602,5.46374
603,6.26249
604,7.19046
605,8.18
606,8.6672
607,7.9526
608,8.57139
609,8.67556
610,5.98918
611,4.21195
612,3.66638
613,3.81598
614,3.69528
615,4.61173
616,4.53236
617,5.03267
618,5.78668
619,4.88177
620,4.97786
621,4.50871
622,5.90404
623,7.49431
624,5.44583
625,5.39581
626,5.82259
627,7.18982
628,8.51499
629,8.3623
630,7.30161
631,8.03427
632,6.48715
633,5.61997
634,5.05718
635,3.36027
636,3.39307
637,3.43983
638,3.48674
639,3.7766
640,4.12039
641,4.34363
642,5.70175
643,4.60154
644,5.12425
645,3.65191
646,3.83182
647,6.26415
648,8.67275
649,5.98564
650,5.19614
651,6.51436
652,9.8374
653,13.5734
654,10.8233
655,8.10052
656,8.10775
657,8.11776
658,5.91628
659,4.12426
660,4.09445
661,4.30897
662,4.73914
663,4.75737
664,5.66464
665,5.97478
666,7.68418
667,5.78268
668,4.9488
669,4.79631
670,4.52842
671,6.43428
672,6.5219
673,6.77626
674,7.33222
675,8.07146
676,10.4953
677,10.6646
678,8.98536
679,7.82099
680,6.61112
681,6.64136
682,5.54683
683,3.73205
684,3.4753
685,3.77588
686,4.38668
687,4.72067
688,5.77726
689,6.26403
690,5.63711
691,3.73077
692,3.92889
693,3.35392
694,3.30976
695,5.00594
696,6.02244
697,5.84846
698,6.55613
699,5.90383
700,6.106
701,7.26199
702,9.44583
703,9.62842
704,7.89885
705,7.04936
706,5.71676
707,3.77264
708,3.85549
709,3.88831
710,4.50254
711,4.57661
712,5.17084
713,6.21874
714,4.62394
715,3.61043
716,4.79156
717,5.99026
718,4.65907
719,5.60986
720,8.29012
721,5.46448
722,6.06973
723,8.15064
724,6.18552
725,7.74185
726,11.8103
727,7.61277
728,6.47287
729,6.06804
730,5.64358
731,3.66692
732,3.68
733,3.80302
734,3.98244
735,4.5109
736,5.10692
737,6.92814
738,4.40168
739,3.39233
740,3.17382
741,3.32621
742,3.29077
743,5.26481
744,5.46592
745,5.12559
746,5.07717
747,5.25816
748,5.23326
749,6.04263
750,6.89466
751,7.38624
752,6.81637
753,6.53535
754,5.33788
755,3.49511
756,3.54255
757,3.38441
758,3.74254
759,3.91302
760,4.33032
761,5.07511
762,4.18716
763,3.22769
764,3.11191
765,4.97214
766,5.5415
767,5.75476
768,5.89242
769,5.52233
770,4.96563
771,4.88159
772,5.60827
773,8.16472
774,7.08438
775,7.21059
776,6.64768
777,5.55869
778,5.43351
779,3.10902
780,3.2533
781,3.03129
782,3.252
783,3.72704
784,3.96051
785,4.72326
786,5.27014
787,7.29943
788,6.30864
789,4.20748
790,6.04748
791,7.76578
792,6.19498
793,8.2632
794,5.95052
795,7.23131
796,8.8482
797,7.3627
798,6.78279
799,9.64428
800,8.3594
801,5.48241
802,5.07659
803,3.56209
804,3.62707
805,3.77925
806,3.4435
807,3.94142
808,4.63252
809,4.94121
810,6.86156
811,5.3797
812,5.73854
813,6.55747
814,5.5971
815,7.0828
816,8.31778
817,8.26865
818,7.22795
819,7.21787
820,7.54374
821,7.35115
822,7.83062
823,7.22557
824,6.21121
825,5.69767
826,5.30112
827,3.63206
828,3.78798
829,3.65791
830,4.19924
831,5.82721
832,5.95773
833,6.40314
834,6.38403
835,5.45569
836,4.30801
837,4.31351
838,3.62913
839,6.24842
840,5.93376
841,5.69867
842,7.84142
843,6.38475
844,8.06732
845,12.5398
846,8.82055
847,8.00268
848,6.21096
849,5.61372
850,5.31017
851,3.59333
852,3.51903
853,3.35761
854,3.37387
855,5.19474
856,5.98544
857,4.99308
858,3.95264
859,3.0929
860,3.96855
861,3.15293
862,2.89346
863,5.25192
864,5.00184
865,5.06289
866,6.36967
867,5.76619
868,6.25904
869,6.89829
870,7.11252
871,7.61895
872,7.97285
873,8.30589
874,5.90173
875,3.5624
876,3.80369
877,3.71634
878,4.23296
879,5.11509
880,5.96355
881,3.86062
882,3.55148
883,3.30038
884,3.20813
885,3.37166
886,3.03411
887,6.60893
888,8.36778
889,5.60973
890,5.77378
891,5.89304
892,6.33267
893,9.06186
894,8.61276
895,8.50807
896,6.20861
897,6.07758
898,5.86028
899,3.50518
900,3.50981
901,3.36113
902,3.46488
903,4.73642
904,5.56672
905,3.67335
906,3.97776
907,3.9182
908,4.557
909,4.46299
910,3.47843
911,5.66966
912,5.49931
913,5.55552
914,5.86432
915,6.02733
916,8.60509
917,6.51377
918,6.88414
919,6.73436
920,6.23944
921,6.26699
922,6.02853
923,3.61013
924,3.57169
925,4.13278
926,4.50497
927,4.71217
928,4.85974
929,4.02891
930,3.82598
931,3.5838
932,3.63218
933,3.63243
934,3.33409
935,6.8687
936,6.46184
937,5.96166
938,7.3132
939,6.22502
940,6.49239
941,6.64194
942,7.35484
943,7.81557
944,6.75289
945,6.1973
946,5.871
947,3.57061
948,3.66751
949,3.62871
950,4.05812
951,4.823
952,4.96593
953,7.4472
954,6.44514
955,3.59618
956,3.88948
957,3.75563
958,4.05806
959,8.03816
960,6.87415
961,5.57037
962,5.76435
963,7.18368
964,5.67066
965,6.75742
966,6.71137
967,6.54465
968,5.94558
969,5.5696
970,5.42788
971,3.27029
972,3.36509
973,3.29286
974,3.16779
975,3.38122
976,3.53025
977,3.711
978,3.75992
979,3.33985
980,2.93494
981,3.43639
982,4.41226
983,5.6629
984,5.33437
985,6.9799
986,6.81055
987,6.85257
988,7.14303
989,6.61911
990,9.10401
991,10.8917
992,8.60209
993,5.92489
994,8.73377
995,3.04352
996,3.00155
997,3.15031
998,3.20552
999,4.59703
1000,5.41054
1001,7.45033
1002,4.22606
1003,3.90544
1004,3.36074
1005,3.77107
1006,5.59748
1007,6.26386
1008,5.59039
1009,5.52956
1010,5.13096
1011,5.60345
1012,7.42806
1013,6.68759
1014,6.39122
1015,6.2939
1016,6.04133
1017,5.74744
1018,5.58946
1019,3.15246
1020,2.9247
1021,3.00533
1022,3.18103
1023,4.57324
1024,5.44641
1025,4.81766
1026,3.56213
1027,3.131
1028,3.02384
1029,3.05499
1030,4.10057
1031,5.71321
1032,5.47257
1033,5.82633
1034,5.7862
1035,5.43742
1036,6.37456
1037,7.11695
1038,6.72165
1039,6.59859
1040,5.96502
1041,5.5239
1042,5.5781
1043,3.37519
1044,3.40197
1045,3.79734
1046,3.92147
1047,4.26573
1048,4.44872
1049,3.92249
1050,3.14106
1051,4.73554
1052,4.1487
1053,3.63693
1054,3.87325
1055,5.63676
1056,5.54645
